序号,彝文,中文,英文
1,󲜐,陷害,"frame, trap, set up"
2,󲜑,兔子,rabbit
3,󲜒,（刀刃含钢不足而）卷,"(刀刃含钢不足而) curl, roll"
4,󲜓,1、舔；2、（专指母羊对出生羊崽的舔）,"1. lick; 2.  (专point, indicate母羊对出生羊崽的lick)"
5,󲜔,便宜,"cheap, inexpensive"
6,󲜕,埋怨,"complain, blame"
7,󲜖,裱褙,"mount, frame"
8,󲜗,（木）渣,"(wood) dregs, residue"
9,󲜘,尾，末,"tail, powder, end"
10,󲜙,（两边）分开,"(两edge, side) separate, part"
11,󲜚,雪,snow
12,󲜛,绊（舌）,"trip, stumble (tongue)"
13,󲜜,1、指（人、物）；2、指向,"1. point, indicate(person, people, object, thing) ; 2. point, indicate向"
14,󲜝,包、扎,"pack, wrap, tie, bind"
15,󲜞,锐利,"sharp, keen"
16,󲜟,这里,here
17,󲜠,惊恐,"startle, shock恐"
18,󲜡,1、爬、攀、登；2、上（动词）,"1. crawl, climb, climb, scale, ascend, mount; 2. 上 (动词)"
19,󲜢,飘,"float, drift"
20,󲜣,（牛马）惊,"(cow, oxhorse) startle, shock"
21,󲜤,禁闭,"confinement, detention"
22,󲜥,八角,star anise
23,󲜦,幼,young
24,󲜧,膨胀,"expansion, swelling"
25,󲜨,高祖,great-grandfather
26,󲜩,特地，专门,"特place, location, specifically"
27,󲜪,翻,"turn over, flip"
28,󲜫,爆,"burst, explode"
29,󲜬,翻（开）,"turn over, flip (drive, operate)"
30,󲜭,逃,"escape, flee"
31,󲜮,象声词（像枪弹飞驰声）,"onomatopoeia (like, similarbullet飞驰声)"
32,󲜯,宝剑,precious sword
33,󲜰,1、（兄弟中的）长者，2，大,"1, (brother中的) elder, 2, big, large"
34,󲜱,唱,sing
35,󲜲,（马拴着）放牧,(horse拴着) 放牧
36,󲜳,（火）熄灭,(fire) extinguish
37,󲜴,1、（精细地）缝，（缝制工艺之一）2、篾箩,"1, (精细place, location) sew, stitch, (sew, stitch制工艺之one) 2, bamboo basket"
38,󲜵,1、乾坤；宇宙空间的）上下，2、开辟3、一个地名、人名,"1, heaven and earth; universespace的）上descend, go down, 2, open up, develop3, one个place name, person, people名"
39,󲜶,（地）区,"(place, location) district, area"
40,󲜷,心,"heart, mind"
41,󲜸,（熟）透,"(cooked, ripe) through, thorough"
42,󲜹,焦（干），（干）脆,"charred, burnt(dry) , (dry) crisp, brittle"
43,󲜺,股（量词）,"strand, share (量词)"
44,󲜻,咳,cough
45,󲜼,供奉,"offer, worship"
46,󲜽,总是,always
47,󲜾,计较,"argue, care about"
48,󲜿,（斜）靠,"(oblique, slanted) lean, depend on"
49,󲝀,煞气（旧时迷信说法）,煞气 (旧时迷信说法)
50,󲝁,（语气助词）,（modal particle）
51,󲝂,（笑声）,（laughter）
52,󲝃,呛,呛
53,󲝄,灰（色）,"ash, gray (color)"
54,󲝅,胛骨,shoulder blade
55,󲝆,锄头,hoe
56,󲝇,（嫩、青）草,"(嫩, 青) grass"
57,󲝈,吹嘘、夸口,"吹嘘, 夸口"
58,󲝉,危及、威胁,"危及, 威胁"
59,󲝊,蝙蝠,bat
60,󲝋,瞪（眼）,瞪 (eye)
61,󲝌,钹,cymbal
62,󲝍,匪,bandit
63,󲝎,研究,research
64,󲝏,商议,"discuss, negotiate"
65,󲝐,（象声词）,（onomatopoeia）
66,󲝑,选择,"choose, select"
67,󲝒,蠕（动）,蠕 (动)
68,󲝓,1、下方；2、地名用字,"1. descend, go downsquare, direction; 2. place name用字"
69,󲝔,惬意草,惬意grass
