F2710	󲜐	hfxn	陷害
F2711	󲜑	hjxm	兔子
F2712	󲜒	hsxm	（刀刃含钢不足而）卷
F2713	󲜓	hsxz	1、舔；2、（专指母羊对出生羊崽的舔）
F2714	󲜔	hgxz	便宜
F2715	󲜕	hfgxm	埋怨
F2716	󲜖	hggxz	裱褙
F2717	󲜗	jdxn	（木）渣
F2718	󲜘	kxm	尾，末
F2719	󲜙	jhxm	（两边）分开
F271A	󲜚	hgpxn	雪
F271B	󲜛	hpgxm	绊（舌）
F271C	󲜜	hghxn	1、指（人、物）；2、指向
F271D	󲜝	jdxm	包、扎
F271E	󲜞	hejxm	锐利
F271F	󲜟	hdgxz	这里
F2720	󲜠	hjhxm	惊恐
F2721	󲜡	hgpxm	1、爬、攀、登；2、上（动词）
F2722	󲜢	hpfxm	飘
F2723	󲜣	htjxm	（牛马）惊
F2724	󲜤	hegxz	禁闭
F2725	󲜥	jfxn	八角
F2726	󲜦	jjxm	幼
F2727	󲜧	jpxn	膨胀
F2728	󲜨	hegxm	高祖
F2729	󲜩	kfxn	特地，专门
F272A	󲜪	kgxn	翻
F272B	󲜫	hhtgxz	爆
F272C	󲜬	hfhgxz	翻（开）
F272D	󲜭	jjhxn	逃
F272E	󲜮	hfghxn	象声词（像枪弹飞驰声）
F272F	󲜯	htgjxz	宝剑
F2730	󲜰	jggxn	1、（兄弟中的）长者，2，大
F2731	󲜱	bghxm	唱
F2732	󲜲	hgjtxz	（马拴着）放牧
F2733	󲜳	htghxz	（火）熄灭
F2734	󲜴	jgyxn	1、（精细地）缝，（缝制工艺之一）2、篾箩
F2735	󲜵	htgjxn	1、乾坤；宇宙空间的）上下，2、开辟3、一个地名、人名
F2736	󲜶	htgqxn	（地）区
F2737	󲜷	hthpxn	心
F2738	󲜸	jhgxn	（熟）透
F2739	󲜹	hpghxm	焦（干），（干）脆
F273A	󲜺	hhgqxm	股（量词）
F273B	󲜻	kmxn	咳
F273C	󲜼	hfjxz	供奉
F273D	󲜽	hgfxm	总是
F273E	󲜾	hiogxn	计较
F273F	󲜿	jggxm	（斜）靠
F2740	󲝀	hhhjxm	煞气（旧时迷信说法）
F2741	󲝁	hghgxm	（语气助词）
F2742	󲝂	hggpxn	（笑声）
F2743	󲝃	jpgyxn	呛
F2744	󲝄	jfhhxn	灰（色）
F2745	󲝅	jfhhxm	胛骨
F2746	󲝆	hgtghxn	锄头
F2747	󲝇	kghxn	（嫩、青）草
F2748	󲝈	jguhxn	吹嘘、夸口
F2749	󲝉	hgggmxn	危及、威胁
F274A	󲝊	hjdxm	蝙蝠
F274B	󲝋	jpgvxn	瞪（眼）
F274C	󲝌	hpghhxm	钹
F274D	󲝍	hgggpxn	匪
F274E	󲝎	hffxm	研究
F274F	󲝏	hhtthxm	商议
F2750	󲝐	khhxn	（象声词）
F2751	󲝑	hdgxb	选择
F2752	󲝒	hgyhhxn	蠕（动）
F2753	󲝓	ghhfxn	1、下方；2、地名用字
F2754	󲝔	kgjxn	惬意草
F2755	󲝕	htghyxn	1、钻（孔）；2、穿（孔）；
F2756	󲝖	htghmxn	土蚕子
F2757	󲝗	hghhuxn	制度
F2758	󲝘	hhggfxm	白杨树
F2759	󲝙	hdjxm	向（祖宗祝告）
