0xf222e	󲈮	󳤣|󐁥󲐀，󲊂󐁥󲐀
0xf2256	󲉖	󳤣|󲊴󲊂
0xf2281	󲊁	󲊂，󲊂󐁥
0xf2282	󲊂	󳤣|󲉖󐁥󳤣，󐁥󳤣
0xf22ad	󲊭	󲊂󲊂|󐁥󳤣，󳤣󲊂
0xf22ae	󲊮	󐁥󳤣，󳤣󲊂
0xf22b1	󲊱	󲊂
0xf22b4	󲊴	󲉖󲊂
0xf2400	󲐀	󲊂�，󲉖󐁥|󲈮󐁥，󲊂󐁥
0xf2710	󲜐	󲳑󳆘󲽌󳐒󳚙󳖸󳂲󳔜󳀃|是通用彝文字符 unicode 0xf2710 滇川黔桂彝文
0xf2711	󲜑	彝文字符的词汇编号是2800。|彝文字符的中文含义是兔子，英文含义是rabbit。
0xf2712	󲜒	(刀刃含钢不足而) curl, roll|󳓥󲮺󳃀󲾰󳓛󲼔󲧴󲲓
0xf2713	󲜓	󲦋󳍧󳛛󲧆󲠋󲪿󲹁󲯃󳔠|The Yi script for '1、舔；2、（专指母羊
0xf2714	󲜔	valley|的意思是便宜（cheap, inexpensive）。
0xf2715	󲜕	的英文是complain, blame，中文是埋怨。|complain, blame
0xf2716	󲜖	󳐀󳏧󳇶󲻲󲠃󳊁󲡓|彝文字符的中文含义是裱褙，英文含义是mount, frame
0xf2717	󲜗	󲬓󲝐󲺒󲻆󳑳󳓱󲬤󲹾󳌶|ugly
0xf2718	󲜘	尾，末用通用彝文写作「」。|󲲔󳑏󲼣󲷭󳅎󲱊
0xf2719	󲜙	love|彝文字符的中文含义是（两边）分开，英文含义是(两edge, 
0xf271a	󲜚	彝文「」的意思是「雪」，英文是 snow。|The Yi script for '雪' is ''. I
0xf271b	󲜛	彝文字符的中文含义是绊（舌），英文含义是trip, stum|means 专 in chinese
0xf271c	󲜜	1. point, indicate(person, peo|编号2811对应彝文字符。
0xf271d	󲜝	pack, wrap, tie, bind|的意思是包、扎（pack, wrap, tie, bind）
0xf271e	󲜞	是通用彝文字符 unicode 0xf271e 滇川黔桂彝文|󳘛󳊪󳏐󲥮󲤍󳎨󲩶󲾫󳏨󲱉󲰈󳚀
0xf271f	󲜟	means 丙 in chinese|family
0xf2720	󲜠	startle, shock恐 in Yi script i|彝文字符的词汇编号是2815。
0xf2721	󲜡	The Yi script for '1、爬、攀、登；2、上|1. crawl, climb, climb, scale,
0xf2722	󲜢	的意思是飘（float, drift）。|float, drift
0xf2723	󲜣	是通用彝文字符 unicode 0xf2723 滇川黔桂彝文|的意思是（牛马）惊（(cow, oxhorse) start
0xf2724	󲜤	󳌇󲴊󳓆󳎬󳁂󳛱󳅗󲨝󳖇󲴴󲮨󳛲󲹌󳐋|的英文是confinement, detention，中文是
0xf2725	󲜥	star anise in Yi script is  (八|The Yi script for '八角' is ''. 
0xf2726	󲜦	是通用彝文字符 unicode 0xf2726 滇川黔桂彝文|的英文是young，中文是幼。
0xf2727	󲜧	󳒛󲬜󳐰󲾞󳕒󳆶󳘑󲽬󳄊󲹀󲿙|彝文字符的中文含义是膨胀，英文含义是expansion, s
0xf2728	󲜨	The Yi script for '高祖' is ''. |great-grandfather in Yi script
0xf2729	󲜩	特地，专门用通用彝文写作「」。|means 中 in chinese
0xf272a	󲜪	彝文「」的意思是「翻」，英文是 turn over, fli|是通用彝文字符 unicode 0xf272a 滇川黔桂彝文
0xf272b	󲜫	彝文「」的意思是「爆」，英文是 burst, explode|󲟼󳙟󲸷󲦥󲢜󲺻󲭨󳋳󲯰󲿈󳅣
0xf272c	󲜬	󳚖󲤮󲳕󲣥󲨇󳌶󳑴󲩞󳛗󳈴󳖀󲻲󲤓|turn over, flip (drive, operat
0xf272d	󲜭	󲹪 island angry|󳅬󳍑󲥩󳄅󲟩󳙊󳜠󳘇󳈰󲡜󳃐󲨞󲥫󳌪
