# 类号 码点(hex) 码点(dec)
0 U+F2710 993040
1 U+F2711 993041
2 U+F2712 993042
3 U+F2713 993043
4 U+F2714 993044
5 U+F2715 993045
6 U+F2716 993046
7 U+F2717 993047
8 U+F2718 993048
9 U+F2719 993049
10 U+F271A 993050
11 U+F271B 993051
12 U+F271C 993052
13 U+F271D 993053
14 U+F271E 993054
15 U+F271F 993055
16 U+F2720 993056
17 U+F2721 993057
18 U+F2722 993058
19 U+F2723 993059
20 U+F2724 993060
21 U+F2725 993061
22 U+F2726 993062
23 U+F2727 993063
24 U+F2728 993064
25 U+F2729 993065
26 U+F272A 993066
27 U+F272B 993067
28 U+F272C 993068
29 U+F272D 993069
30 U+F272E 993070
31 U+F272F 993071
32 U+F2730 993072
33 U+F2731 993073
34 U+F2732 993074
35 U+F2733 993075
36 U+F2734 993076
37 U+F2735 993077
38 U+F2736 993078
39 U+F2737 993079
40 U+F2738 993080
41 U+F2739 993081
42 U+F273A 993082
43 U+F273B 993083
44 U+F273C 993084
45 U+F273D 993085
46 U+F273E 993086
47 U+F273F 993087
48 U+F2740 993088
49 U+F2741 993089
50 U+F2742 993090
51 U+F2743 993091
52 U+F2744 993092
53 U+F2745 993093
54 U+F2746 993094
55 U+F2747 993095
56 U+F2748 993096
57 U+F2749 993097
58 U+F274A 993098
59 U+F274B 993099
60 U+F274C 993100
61 U+F274D 993101
62 U+F274E 993102
63 U+F274F 993103
64 U+F2750 993104
65 U+F2751 993105
66 U+F2752 993106
67 U+F2753 993107
68 U+F2754 993108
69 U+F2755 993109
70 U+F2756 993110
71 U+F2757 993111
72 U+F2758 993112
73 U+F2759 993113
74 U+F275A 993114
75 U+F275B 993115
76 U+F275C 993116
77 U+F275D 993117
78 U+F275E 993118
79 U+F275F 993119
80 U+F2760 993120
81 U+F2761 993121
82 U+F2762 993122
83 U+F2763 993123
84 U+F2764 993124
85 U+F2765 993125
86 U+F2766 993126
87 U+F2767 993127
88 U+F2768 993128
89 U+F2769 993129
90 U+F276A 993130
91 U+F276B 993131
92 U+F276C 993132
93 U+F276D 993133
94 U+F276E 993134
95 U+F276F 993135
96 U+F2770 993136
97 U+F2771 993137
98 U+F2772 993138
99 U+F2773 993139
100 U+F2774 993140
101 U+F2775 993141
102 U+F2776 993142
103 U+F2777 993143
104 U+F2778 993144
105 U+F2779 993145
106 U+F277A 993146
107 U+F277B 993147
108 U+F277C 993148
109 U+F277D 993149
110 U+F277E 993150
111 U+F277F 993151
112 U+F2780 993152
113 U+F2781 993153
114 U+F2782 993154
115 U+F2783 993155
116 U+F2784 993156
117 U+F2785 993157
118 U+F2786 993158
119 U+F2787 993159
120 U+F2788 993160
121 U+F2789 993161
122 U+F278A 993162
123 U+F278B 993163
124 U+F278C 993164
125 U+F278D 993165
126 U+F278E 993166
127 U+F278F 993167
128 U+F2790 993168
129 U+F2791 993169
130 U+F2792 993170
131 U+F2793 993171
132 U+F2794 993172
133 U+F2795 993173
134 U+F2796 993174
135 U+F2797 993175
136 U+F2798 993176
137 U+F2799 993177
138 U+F279A 993178
139 U+F279B 993179
140 U+F279C 993180
141 U+F279D 993181
142 U+F279E 993182
143 U+F279F 993183
144 U+F27A0 993184
145 U+F27A1 993185
146 U+F27A2 993186
147 U+F27A3 993187
148 U+F27A4 993188
149 U+F27A5 993189
150 U+F27A6 993190
151 U+F27A7 993191
152 U+F27A8 993192
153 U+F27A9 993193
154 U+F27AA 993194
155 U+F27AB 993195
156 U+F27AC 993196
157 U+F27AD 993197
158 U+F27AE 993198
159 U+F27AF 993199
160 U+F27B0 993200
161 U+F27B1 993201
162 U+F27B2 993202
163 U+F27B3 993203
164 U+F27B4 993204
165 U+F27B5 993205
166 U+F27B6 993206
167 U+F27B7 993207
168 U+F27B8 993208
169 U+F27B9 993209
170 U+F27BA 993210
171 U+F27BB 993211
172 U+F27BC 993212
173 U+F27BD 993213
174 U+F27BE 993214
175 U+F27BF 993215
176 U+F27C0 993216
177 U+F27C1 993217
178 U+F27C2 993218
179 U+F27C3 993219
180 U+F27C4 993220
181 U+F27C5 993221
182 U+F27C6 993222
183 U+F27C7 993223
184 U+F27C8 993224
185 U+F27C9 993225
186 U+F27CA 993226
187 U+F27CB 993227
188 U+F27CC 993228
189 U+F27CD 993229
190 U+F27CE 993230
191 U+F27CF 993231
192 U+F27D0 993232
193 U+F27D1 993233
194 U+F27D2 993234
195 U+F27D3 993235
196 U+F27D4 993236
197 U+F27D5 993237
198 U+F27D6 993238
199 U+F27D7 993239
200 U+F27D8 993240
201 U+F27D9 993241
202 U+F27DA 993242
203 U+F27DB 993243
204 U+F27DC 993244
205 U+F27DD 993245
206 U+F27DE 993246
207 U+F27DF 993247
208 U+F27E0 993248
209 U+F27E1 993249
210 U+F27E2 993250
211 U+F27E3 993251
212 U+F27E4 993252
213 U+F27E5 993253
214 U+F27E6 993254
215 U+F27E7 993255
216 U+F27E8 993256
217 U+F27E9 993257
218 U+F27EA 993258
219 U+F27EB 993259
220 U+F27EC 993260
221 U+F27ED 993261
222 U+F27EE 993262
223 U+F27EF 993263
224 U+F27F0 993264
225 U+F27F1 993265
226 U+F27F2 993266
227 U+F27F3 993267
228 U+F27F4 993268
229 U+F27F5 993269
230 U+F27F6 993270
231 U+F27F7 993271
232 U+F27F8 993272
233 U+F27F9 993273
234 U+F27FA 993274
235 U+F27FB 993275
236 U+F27FC 993276
237 U+F27FD 993277
238 U+F27FE 993278
239 U+F27FF 993279
240 U+F2800 993280
241 U+F2801 993281
242 U+F2802 993282
243 U+F2803 993283
244 U+F2804 993284
245 U+F2805 993285
246 U+F2806 993286
247 U+F2807 993287
248 U+F2808 993288
249 U+F2809 993289
250 U+F280A 993290
251 U+F280B 993291
252 U+F280C 993292
253 U+F280D 993293
254 U+F280E 993294
255 U+F280F 993295
256 U+F2810 993296
257 U+F2811 993297
258 U+F2812 993298
259 U+F2813 993299
260 U+F2814 993300
261 U+F2815 993301
262 U+F2816 993302
263 U+F2817 993303
264 U+F2818 993304
265 U+F2819 993305
266 U+F281A 993306
267 U+F281B 993307
268 U+F281C 993308
269 U+F281D 993309
270 U+F281E 993310
271 U+F281F 993311
272 U+F2820 993312
273 U+F2821 993313
274 U+F2822 993314
275 U+F2823 993315
276 U+F2824 993316
277 U+F2825 993317
278 U+F2826 993318
279 U+F2827 993319
280 U+F2828 993320
281 U+F2829 993321
282 U+F282A 993322
283 U+F282B 993323
284 U+F282C 993324
285 U+F282D 993325
286 U+F282E 993326
287 U+F282F 993327
288 U+F2830 993328
289 U+F2831 993329
290 U+F2832 993330
291 U+F2833 993331
292 U+F2834 993332
293 U+F2835 993333
294 U+F2836 993334
295 U+F2837 993335
296 U+F2838 993336
297 U+F2839 993337
298 U+F283A 993338
299 U+F283B 993339
300 U+F283C 993340
301 U+F283D 993341
302 U+F283E 993342
303 U+F283F 993343
304 U+F2840 993344
305 U+F2841 993345
306 U+F2842 993346
307 U+F2843 993347
308 U+F2844 993348
309 U+F2845 993349
310 U+F2846 993350
311 U+F2847 993351
312 U+F2848 993352
313 U+F2849 993353
314 U+F284A 993354
315 U+F284B 993355
316 U+F284C 993356
317 U+F284D 993357
318 U+F284E 993358
