# QEntL 3-Epoch Training Report
# Date: 2026-07-03T03:23:33+08:00
# Circuits: 21
#
| Circuit | Epoch | Cycles | Gates | Status |
|---------|-------|--------|-------|--------|
| QEntL/Models/QSM/qsm_consciousness_circuit.qbc | 1 | 34 | 34 | OK |
| QEntL/Models/QSM/qsm_consciousness_circuit.qbc | 2 | 34 | 34 | OK |
| QEntL/Models/QSM/qsm_consciousness_circuit.qbc | 3 | 34 | 34 | OK |
| QEntL/Models/QSM/qsm_entanglement_circuit.qbc | 1 | 33 | 33 | OK |
| QEntL/Models/QSM/qsm_entanglement_circuit.qbc | 2 | 33 | 33 | OK |
| QEntL/Models/QSM/qsm_entanglement_circuit.qbc | 3 | 33 | 33 | OK |
| QEntL/Models/QSM/qsm_entry.qbc | 1 | 14 | 14 | OK |
| QEntL/Models/QSM/qsm_entry.qbc | 2 | 14 | 14 | OK |
| QEntL/Models/QSM/qsm_entry.qbc | 3 | 14 | 14 | OK |
| QEntL/Models/QSM/qsm_yi_training_circuit.qbc | 1 | 55 | 55 | OK |
| QEntL/Models/QSM/qsm_yi_training_circuit.qbc | 2 | 55 | 55 | OK |
| QEntL/Models/QSM/qsm_yi_training_circuit.qbc | 3 | 55 | 55 | OK |
| QEntL/Models/QSM/yi_training_pipeline_circuit.qbc | 1 | 67 | 67 | OK |
| QEntL/Models/QSM/yi_training_pipeline_circuit.qbc | 2 | 67 | 67 | OK |
| QEntL/Models/QSM/yi_training_pipeline_circuit.qbc | 3 | 67 | 67 | OK |
| QEntL/Models/Ref/ref_entry.qbc | 1 | 30 | 30 | OK |
| QEntL/Models/Ref/ref_entry.qbc | 2 | 30 | 30 | OK |
| QEntL/Models/Ref/ref_entry.qbc | 3 | 30 | 30 | OK |
| QEntL/Models/Ref/ref_healing_circuit.qbc | 1 | 55 | 55 | OK |
| QEntL/Models/Ref/ref_healing_circuit.qbc | 2 | 55 | 55 | OK |
| QEntL/Models/Ref/ref_healing_circuit.qbc | 3 | 55 | 55 | OK |
| QEntL/Models/Ref/ref_monitoring_circuit.qbc | 1 | 48 | 48 | OK |
| QEntL/Models/Ref/ref_monitoring_circuit.qbc | 2 | 48 | 48 | OK |
| QEntL/Models/Ref/ref_monitoring_circuit.qbc | 3 | 48 | 48 | OK |
| QEntL/Models/Ref/ref_optimization_circuit.qbc | 1 | 47 | 47 | OK |
| QEntL/Models/Ref/ref_optimization_circuit.qbc | 2 | 47 | 47 | OK |
| QEntL/Models/Ref/ref_optimization_circuit.qbc | 3 | 47 | 47 | OK |
| QEntL/Models/SOM/som_transaction_circuit.qbc | 1 | 44 | 44 | OK |
| QEntL/Models/SOM/som_transaction_circuit.qbc | 2 | 44 | 44 | OK |
| QEntL/Models/SOM/som_transaction_circuit.qbc | 3 | 44 | 44 | OK |
| QEntL/Models/SOM/som_entry.qbc | 1 | 22 | 22 | OK |
| QEntL/Models/SOM/som_entry.qbc | 2 | 22 | 22 | OK |
| QEntL/Models/SOM/som_entry.qbc | 3 | 22 | 22 | OK |
| QEntL/Models/WeQ/weq_entry.qbc | 1 | 22 | 22 | OK |
| QEntL/Models/WeQ/weq_entry.qbc | 2 | 22 | 22 | OK |
| QEntL/Models/WeQ/weq_entry.qbc | 3 | 22 | 22 | OK |
| QEntL/Models/WeQ/weq_learning_circuit.qbc | 1 | 34 | 34 | OK |
| QEntL/Models/WeQ/weq_learning_circuit.qbc | 2 | 34 | 34 | OK |
| QEntL/Models/WeQ/weq_learning_circuit.qbc | 3 | 34 | 34 | OK |
| QEntL/Models/WeQ/weq_social_interaction_circuit.qbc | 1 | 63 | 63 | OK |
| QEntL/Models/WeQ/weq_social_interaction_circuit.qbc | 2 | 63 | 63 | OK |
| QEntL/Models/WeQ/weq_social_interaction_circuit.qbc | 3 | 63 | 63 | OK |
| QEntL/Models/Models_QNS_Integration_Test.qbc | 1 | 88 | 88 | OK |
| QEntL/Models/Models_QNS_Integration_Test.qbc | 2 | 88 | 88 | OK |
| QEntL/Models/Models_QNS_Integration_Test.qbc | 3 | 88 | 88 | OK |
| QEntL/System/Kernel/filesystem/grover_search_circuit.qbc | 1 | 51 | 51 | OK |
| QEntL/System/Kernel/filesystem/grover_search_circuit.qbc | 2 | 51 | 51 | OK |
| QEntL/System/Kernel/filesystem/grover_search_circuit.qbc | 3 | 51 | 51 | OK |
| QEntL/System/Kernel/filesystem/qdfs_quantum_circuit.qbc | 1 | 41 | 41 | OK |
| QEntL/System/Kernel/filesystem/qdfs_quantum_circuit.qbc | 2 | 41 | 41 | OK |
| QEntL/System/Kernel/filesystem/qdfs_quantum_circuit.qbc | 3 | 41 | 41 | OK |
| QEntL/System/Kernel/neural/qns_backprop_circuit.qbc | 1 | 65 | 65 | OK |
| QEntL/System/Kernel/neural/qns_backprop_circuit.qbc | 2 | 65 | 65 | OK |
| QEntL/System/Kernel/neural/qns_backprop_circuit.qbc | 3 | 65 | 65 | OK |
| QEntL/System/Kernel/neural/qns_training_circuit.qbc | 1 | 38 | 38 | OK |
| QEntL/System/Kernel/neural/qns_training_circuit.qbc | 2 | 38 | 38 | OK |
| QEntL/System/Kernel/neural/qns_training_circuit.qbc | 3 | 38 | 38 | OK |
| QEntL/System/Kernel/qns_qdfs_dataflow.qbc | 1 | 38 | 38 | OK |
| QEntL/System/Kernel/qns_qdfs_dataflow.qbc | 2 | 38 | 38 | OK |
| QEntL/System/Kernel/qns_qdfs_dataflow.qbc | 3 | 38 | 38 | OK |
| QEntL/System/Kernel/qns_qdfs_reverse_flow_circuit.qbc | 1 | 56 | 56 | OK |
| QEntL/System/Kernel/qns_qdfs_reverse_flow_circuit.qbc | 2 | 56 | 56 | OK |
| QEntL/System/Kernel/qns_qdfs_reverse_flow_circuit.qbc | 3 | 56 | 56 | OK |

## Per-Circuit Summary (3 epochs aggregated)
| Circuit | Model | Cycles | Gates | Fails |
|---------|-------|--------|-------|-------|
| QEntL/Models/QSM/qsm_consciousness_circuit.qbc | Models/QSM | 102 | 102 | 0 |
| QEntL/Models/QSM/qsm_entanglement_circuit.qbc | Models/QSM | 99 | 99 | 0 |
| QEntL/Models/QSM/qsm_entry.qbc | Models/QSM | 42 | 42 | 0 |
| QEntL/Models/QSM/qsm_yi_training_circuit.qbc | Models/QSM | 165 | 165 | 0 |
| QEntL/Models/QSM/yi_training_pipeline_circuit.qbc | Models/QSM | 201 | 201 | 0 |
| QEntL/Models/Ref/ref_entry.qbc | Models/Ref | 90 | 90 | 0 |
| QEntL/Models/Ref/ref_healing_circuit.qbc | Models/Ref | 165 | 165 | 0 |
